transaction_id,user_id,amount,email,category,payment_method,region,transaction_date,status,quantity,discount_pct,tax_amount,merchant_id,currency,batch
T00293,U734,2448.62,user734@corp.net,Electronics,debit_card,EU-North,2024-09-03,completed,10,29.0,129.08,M7386,EUR,v1
T00631,U230,3080.99,user230@enterprise.com,Travel,credit_card,EU-North,2023-06-04,completed,3,20.9,195.79,M9775,GBP,v2
T00079,U881,1579.87,user881@datamail.co,Travel,crypto,MEA,2023-06-03,PENDING,5,18.1,96.26,M6447,GBP,v1
T00114,U223,3014.12,user223@company.io,Clothing,credit_card,LATAM,2023-02-28,completed,9,15.4,303.12,M9071,USD,v1
T00175,U787,612.56,user787@enterprise.com,Groceries,gift_card,EU-Central,2024-01-12,failed,1,17.5,88.14,M7273,GBP,v1
T00423,U581,2553.05,user581@datamail.co,Home & Garden,crypto,MEA,2024-03-05,completed,8,4.5,138.55,M6055,CAD,v1
T00761,U537,3740.06,user537@biz.net,Home & Garden,gift_card,US-East,2024-03-02,completed,10,27.5,401.47,M7795,USD,v2
T00507,U546,4051.25,user546@enterprise.com,Education,credit_card,LATAM,2023-10-27,completed,3,13.7,711.05,M7699,USD,v2
T01078,U994,3385.7,user994@company.io,Gaming,crypto,US-East,2024-04-15,pending,8,2.7,290.78,M1478,EUR,v2
T01056,U849,3466.29,user849@techfirm.org,Electronics,crypto,EU-Central,2023-01-30,pending,3,11.1,224.65,M4421,USD,v2
T01173,U240,1125.0,user240@gmail.com,Healthcare,paypal,APAC,2024-04-14,pending,3,13.0,150.54,M3337,USD,v2
T00329,U120,880.15,user120@datamail.co,Travel,paypal,MEA,2023-01-30,completed,5,0.3,144.9,M5205,CAD,v1
T00610,U762,4469.63,user762@enterprise.com,Electronics,paypal,EU-Central,2023-04-20,completed,4,0.6,324.76,M3718,INR,v2
T00933,U263,2136.89,user263@corp.net,Home & Garden,paypal,APAC,2024-04-24,pending,5,12.1,264.37,M6670,GBP,v2
T00738,U929,4158.75,user929@biz.net,Gaming,debit_card,MEA,2023-04-14,completed,2,8.6,423.96,M6490,EUR,v2
T00732,U515,2656.62,user515@techfirm.org,Gaming,gift_card,EU-Central,2023-02-20,completed,9,2.2,357.67,M9023,USD,v2
T00701,U196,3438.43,user196@enterprise.com,Electronics,credit_card,US-West,2023-01-21,pending,2,22.1,187.3,,GBP,v2
T00169,U932,-89.82,user932@biz.net,Education,gift_card,EU-Central,2023-02-08,pending,1,0.4,175.16,M6969,USD,v1
T00322,U231,30488.39,user231@yahoo.com,Travel,crypto,MEA,2023-10-21,completed,7,0.0,72.94,M4633,USD,v1
T01099,U834,1146.7,user834@enterprise.com,Home & Garden,bank_transfer,CA-East,2023-05-18,completed,10,13.2,88.9,M7257,GBP,v2
T00362,U912,4113.3,user912@techfirm.org,Groceries,paypal,EU-Central,2024-04-10,refunded,1,14.9,270.09,M3763,USD,v1
